"Category","default"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,2
149,2
150,2
151,2
152,2
153,2
154,3
155,3
156,3
157,3
158,3
159,3
160,4
161,5
162,5
163,5
164,6
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,9
173,10
174,10
175,10
176,11
177,11
178,11
179,11
180,12
181,12
182,12
183,12
184,12
185,12
186,12
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,14
196,14
197,15
198,15
199,15
200,15
201,16
202,16
203,16
204,16
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,17
213,17
214,18
215,19
216,19
217,19
218,19
219,20
220,20
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,21
230,22
231,22
232,22
233,22
234,22
235,22
236,22
237,23
238,23
239,23
240,23
241,23
242,23
243,23
244,23
245,24
246,24
247,24
248,24
249,24
250,25
251,25
252,25
253,26
254,26
255,26
256,26
257,26
258,26
259,26
260,27
261,27
262,27
263,27
264,27
265,28
266,28
267,28
268,28
269,28
270,28
271,28
272,29
273,30
274,30
275,30
276,30
277,30
278,30
279,30
280,30
281,30
282,30
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,32
298,32
299,32
300,33
301,33
302,33
303,33
304,33
305,34
306,34
307,34
308,34
309,34
310,34
311,34
312,35
313,35
314,35
315,35
316,35
317,36
318,36
319,37
320,38
321,39
322,40
323,41
324,41
325,41
326,42
327,42
328,42
329,42
330,42
331,44
332,44
333,44
334,44
335,44
336,44
337,46
338,47
339,47
340,48
341,49
342,50
343,50
344,51
345,52
346,52
347,52
348,52
349,52
350,52
351,53
352,53
353,53
354,53
355,53
356,53
357,53
358,56
359,57
360,57
361,57
362,57
363,57
364,57
365,59
366,59
367,59
368,59
369,60
370,60
371,60
372,60
373,61
374,61
375,61
376,61
377,61
378,61
379,61
380,61
381,61
382,61
383,61
384,61
385,62
386,63
387,63
388,63
389,63
390,63
391,63
392,64
393,67
394,67
395,68
396,68
397,69
398,71
399,71
400,71
401,71
402,71
403,71
404,71
405,71
406,72
407,72
408,72
409,73
410,73
411,73
412,74
413,74
414,75
415,75
416,75
417,76
418,77
419,77
420,77
421,77
422,77
423,77
424,77
425,77
426,77
427,77
428,77
429,77
430,77
431,77
432,77
433,78
434,78
435,78
436,78
437,78
438,78
439,78
440,79
441,80
442,80
443,80
444,82
445,82
446,82
447,82
448,82
449,82
450,82
451,82
452,82
453,82
454,82
455,82
456,82
457,82
458,82
459,83
460,84
461,84
462,84
463,85
464,86
465,87
466,87
467,88
468,88
469,89
470,89
471,90
472,91
473,92
474,92
475,92
476,92
477,93
478,93
479,93
480,94
481,94
482,94
483,94
484,95
485,95
486,95
487,97
488,97
489,98
490,98
491,98
492,98
493,99
494,99
495,100
496,100
497,100
498,100
499,100
500,100
501,100
502,100
503,101
504,101
505,102
506,102
507,102
508,102
509,103
510,103
511,103
512,103
513,103
514,103
515,105
516,105
517,105
518,105
519,106
520,107
521,107
522,107
523,107
524,107
525,108
526,108
527,108
528,108
529,108
530,108
531,109
